Spanish,English
puestas 2142,set 2142
subiré 2142,I will ascend 2142
maxwell 2141,maxwell 2141
maquina 2141,2141 machine
detectar 2141,detect 2141
banana 2141,2141 banana
tesis 2141,thesis 2141
acabaré 2141,I'll finish 2141
enojo 2140,anger 2140
acelerador 2140,accelerator 2140
entenderás 2140,You understand 2140
weaver 2139,2139 Review
cuidarme 2139,2139 take care
quedaras 2138,2138 sticking
lucifer 2138,lucifer 2138
marissa 2138,marissa 2138
repuesto 2138,2138 parts
holden 2138,holden 2138
alucinaciones 2138,hallucinations 2138
corredores 2138,2138 runners
biológico 2137,biological 2137
púdrete 2137,rot 2137
neill 2137,neill 2137
tablas 2137,tables 2137
descubriste 2136,2136 discovered
organismo 2136,2136 body
afectar 2136,affect 2136
acuéstate 2136,2136 lie
cuevas 2136,2136 caves
servirle 2135,serve 2135
i. 2134,i. 2134
abismo 2134,2134 abyss
equivocadas 2134,2134 wrong
prostitución 2133,prostitution 2133
nudos 2133,2133 knots
perfectas 2132,perfect 2132
picado 2132,2132 chopped
miradas 2131,2131 looks
ambicioso 2131,ambitious 2131
aparatos 2131,2131 devices
escribía 2131,he wrote 2131
dirigió 2130,directed 2130
olía 2130,smelled 2130
confié 2130,I trusted 2130
construyeron 2130,built 2130
camarote 2129,2129 cabin
determinación 2129,2129 determination
isabelle 2128,isabelle 2128
dobla 2128,doubles 2128
bofetada 2127,slap 2127
equivocó 2127,misspoke 2127
elevador 2127,elevator 2127
persiguen 2126,2126 chase
leyendas 2126,legends 2126
ejércitos 2126,2126 hosts
imagine 2126,Imagine 2126
how 2124,how 2124
fumas 2124,smoke 2124
sueltos 2124,2124 loose
eches 2124,throw 2124
estafador 2124,con 2124
h. 2123,h. 2123
felizmente 2123,blissfully 2123
recuperarlo 2123,recover 2123
noción 2122,2122 concept
solteros 2122,2122 Singles
permitiría 2122,2122 would
corazonada 2122,hunch 2122
agotada 2122,2122 exhausted
castigar 2122,punish 2122
rivales 2121,2121 rivals
resolución 2121,resolution 2121
lograron 2120,managed 2120
financieros 2120,financial 2120
continúen 2120,2120 continue
exitosa 2120,successful 2120
activado 2120,activated 2120
brindemos 2120,Brindemos 2120
cordón 2120,lace 2120
relajado 2119,relaxed 2119
arrastrado 2119,dragged 2119
tolerar 2119,tolerating 2119
símbolos 2119,symbols 2119
aliviar 2119,relieve 2119
yes 2118,yes 2118
visitarme 2118,2118 visit
pope 2118,Pope 2118
racional 2117,rational 2117
espionaje 2117,2117 espionage
sientate 2117,2117 sit
electrónica 2117,electronic 2117
homenaje 2116,2116 tribute
orgasmo 2116,orgasm 2116
usaría 2116,would use 2116
pro 2116,2116 pro
culpes 2116,2116 blame
infernal 2116,infernal 2116
apartado 2116,section 2116
tessa 2115,tessa 2115
intentos 2115,2115 attempts
banks 2115,Banks 2115
matrimonios 2115,2115 marriages
drogadicto 2115,2115 addict
temporalmente 2115,2115 temporarily
agarré 2115,I grabbed 2115
peluche 2115,teddy 2115
económica 2115,economic 2115
pasillos 2115,halls 2115
devolverle 2114,2114 return
supimos 2114,we knew 2114
encargará 2114,will handle 2114
espectro 2113,spectrum 2113
sábados 2113,2113 Saturday
record 2113,2113 record
pensarás 2112,you think 2112
wheeler 2112,2112 Wheeler
dispararme 2112,shoot 2112
alexis 2112,alexis 2112
pabellón 2111,pavilion 2111
traido 2111,2111 brought
representan 2110,2110 represent
et 2110,et 2110
agencias 2110,agencies 2110
avatar 2110,avatar 2110
respire 2110,respire 2110
mecánica 2109,mechanical 2109
leeré 2109,I'll read 2109
tropa 2109,troop 2109
abdomen 2109,"abdomen, 2109"
mencionaste 2108,mentioned 2108
noruega 2108,Norway 2108
arreglamos 2108,managed 2108
zoo 2107,zoo 2107
tómala 2107,Take her 2107
comenzaremos 2107,2107 start
banca 2106,banking 2106
retrete 2106,WC 2106
tazón 2106,2106 bowl
darcy 2106,darcy 2106
échale 2106,Check 2106
pensarán 2105,They think 2105
satisfecha 2105,2105 satisfied
donny 2105,donny 2105
beck 2105,2105 beck
alfredo 2105,alfredo 2105
intentemos 2104,try 2104
iii 2104,iii 2104
clayton 2104,clayton 2104
activar 2104,activate 2104
panqueques 2104,2104 pancakes
marine 2103,marine 2103
cuadrado 2103,2103 square
dejaran 2103,let 2103
futuros 2102,future 2102
brent 2102,brent 2102
sándwiches 2102,sandwiches 2102
hyde 2102,hyde 2102
díganos 2102,2102 tell us
proteja 2101,Protect 2101
transición 2101,2101 transition
boxeador 2100,boxer 2100
revise 2100,2100 review
cuyos 2099,whose 2099
secundarios 2099,side 2099
uvas 2099,2099 grapes
sudando 2099,sweating 2099
congelador 2099,freezer 2099
fallé 2099,I failed 2099
vaughn 2099,vaughn 2099
atentado 2099,2099 attack
batido 2098,2098 beaten
canasta 2098,2098 basket
monumento 2098,2098 monument
antorcha 2098,torch 2098
antena 2098,2098 antenna
sacarlos 2096,2096 remove them
colaboración 2096,2096 collaboration
gemma 2096,gemma 2096
solicito 2096,2096 apply
taquilla 2095,Box Office 2095
tenerme 2095,2095 having me
seo 2095,seo 2095
insignia 2094,2094 logo
fábricas 2094,2094 factories
conque 2094,Yea 2094
senté 2093,I sat 2093
reunió 2093,gathered 2093
convencida 2093,convinced 2093
frías 2093,2093 cold
asustan 2093,2093 scare
mojada 2092,wet 2092
seúl 2092,seoul 2092
leales 2092,loyal 2092
philippe 2092,philippe 2092
préstamos 2091,2091 loans
callarte 2091,2091 shut
alejandro 2091,Alejandro 2091
banquero 2089,banker 2089
divertidas 2089,2089 fun
artístico 2089,artistic 2089
luchas 2089,2089 struggles
armstrong 2089,2089 armstrong
dramática 2088,dramatic 2088
roz 2087,roz 2087
tyson 2086,tyson 2086
coser 2086,2086 sewing
temperamento 2086,2086 temperament
creerán 2085,They believe 2085
calzones 2085,calzones 2085
abrirla 2085,2085 open
dadas 2085,given 2085
andrews 2085,2085 andrews
emmett 2085,emmett 2085
vendedores 2084,2084 sellers
patán 2084,slob 2084
patata 2084,potato 2084
flaco 2084,skinny 2084
homosexuales 2084,2084 gay
esteroides 2084,steroids 2084
cuota 2083,2083 quota
vendas 2083,bands 2083
brendan 2083,brendan 2083
continúan 2083,2083 continue
heidi 2083,heidi 2083
secuestrar 2083,2083 kidnap
industrias 2083,industries 2083
avergüenza 2083,shames 2083
arriesgarme 2082,2082 take a chance
ostras 2082,oysters 2082
procesar 2082,2082 process
perdamos 2082,2082 lose
tacones 2081,heels 2081
igualdad 2081,equality 2081
exista 2081,2081 there
cambiarte 2079,2079 change you
obtenido 2079,2079 obtained
nigel 2079,nigel 2079
engañaste 2079,deceived 2079
saliva 2079,Saliva 2079
ofrecieron 2078,They offered 2078
carnaval 2078,carnival 2078
mudé 2078,I moved 2078
cenas 2078,2078 dinner
churchill 2077,churchill 2077
ayudaba 2077,helped 2077
menciones 2076,2076 mentions
line 2076,line 2076
rasguño 2076,scratch 2076
transmisor 2075,transmitter 2075
grandote 2075,grandote 2075
recibieron 2075,received 2075
dieciséis 2075,sixteen 2075
defendiendo 2074,defending 2074
quitaré 2074,I will take 2074
ingresar 2074,enter 2074
empeorar 2074,worse 2074
quejarte 2074,whinge 2074
ideales 2074,ideal 2074
invertido 2074,invested 2074
memorias 2073,2073 memories
helicópteros 2072,helicopters 2072
universidades 2072,universities 2072
alejarte 2072,2072 stay away
corro 2071,I run 2071
canciller 2071,Chancellor 2071
revelación 2071,revelation 2071
felicity 2070,felicity 2070
presiones 2070,2070 pressures
debiera 2070,2070 should
inventando 2069,inventing 2069
buenísimo 2069,terrific 2069
etc. 2069,etc. 2069
quiza 2069,perhaps 2069
clare 2069,clare 2069
ire 2069,IRE 2069
volverte 2068,2068 become
seguidos 2068,followed 2068
bajamos 2068,2068 down
mentiría 2068,2068 lie
dejémoslo 2067,let's leave 2067
nash 2066,nash 2066
bota 2066,boot 2066
disturbios 2066,2066 riots
divorciado 2066,divorced 2066
enojes 2066,2066 angry
noventa 2066,ninety 2066
élite 2066,elite 2066
pellejo 2065,2065 skin
odiaría 2065,I'd hate to 2065
trastorno 2065,2065 disorder
explorador 2064,explorer 2064
produjo 2064,produced 2064
che 2064,che 2064
ike 2064,ike 2064
admítelo 2063,admit 2063
cansé 2063,I got tired 2063
formado 2063,formed 2063
desaparecidas 2063,missing 2063
démosle 2062,Let's give 2062
confíes 2062,2062 trust
detenerse 2062,stop 2062
ganaremos 2062,2062 win
mallory 2061,mallory 2061
estribor 2061,starboard 2061
operadora 2061,operator 2061
puré 2061,mash 2061
elegida 2061,elected 2061
maureen 2060,maureen 2060
pezones 2060,nipples 2060
nixon 2060,nixon 2060
otis 2060,otis 2060
pasarte 2059,spend 2059
ejemplar 2059,2059 copy
bloquear 2058,block 2058
rodeo 2058,rodeo 2058
contestado 2058,2058 answered
cante 2058,2058 sing
entraré 2058,I will come in 2058
plantado 2057,planted 2057
individual 2056,Individual 2056
pertenencias 2056,belongings 2056
fuertemente 2056,2056 strongly
noroeste 2056,2056 northwest
biológica 2055,biological 2055
subes 2055,2055 climb
vegetales 2055,2055 plant
tácticas 2055,2055 tactics
rondas 2055,2055 rounds
espejos 2055,mirrors 2055
frustrante 2054,frustrating 2054
aplica 2053,2053 applies
confieso 2053,I confess 2053
triángulo 2053,triangle 2053
funcionarios 2053,2053 officials
titular 2052,holder 2052
yace 2052,2052 lies
catástrofe 2051,2051 catastrophe
plantar 2051,plantar 2051
compartido 2051,shared 2051
repetirlo 2051,2051 repeat
títulos 2051,2051 titles
amplio 2050,wide 2050
back 2050,2050 back
indias 2050,Indian 2050
moisés 2049,moisés 2049
dolly 2048,2048 dolly
desgraciada 2048,2048 wretched
cenamos 2048,2048 dinner
solucionarlo 2047,2047 fix
filmación 2047,filming 2047
gire 2047,2047 turn
hm 2046,hm 2046
discutido 2045,2045 discussed
secuestradores 2045,kidnappers 2045
entendería 2045,understand 2045
visitando 2045,visiting 2045
rastreo 2044,tracking 2044
tambores 2044,drums 2044
crudo 2044,raw 2044
guardianes 2044,guardians 2044
cálculo 2044,2044 calculation
cejas 2044,eyebrows 2044
alambre 2043,wire 2043
recortes 2043,cuts 2043
incidentes 2043,2043 incidents
ayudamos 2042,2042 help
testículos 2042,2042 testicles
déjenos 2042,let 2042
subtítulo 2042,subtitle 2042
oppa 2042,oppa 2042
cumpliendo 2041,2041 meeting
suegro 2041,2041 father
brindar 2041,providing 2041
escalofríos 2041,chills 2041
quejarse 2041,2041 complain
homer 2040,2040 homer
dure 2040,last 2040
kai 2040,kai 2040
regresaron 2039,2039 returned
acompañaré 2039,I go with 2039
ingenio 2039,2039 wit
rindas 2039,rindas 2039
ordené 2039,I ordered 2039
grúa 2039,crane 2039
ganancia 2038,2038 gain
lloro 2038,I cry 2038
manipular 2038,manipulate 2038
llevabas 2037,wore 2037
percepción 2037,perception 2037
cass 2036,cass 2036
comprobando 2036,checking 2036
dirían 2036,say 2036
sloan 2036,sloan 2036
sangrado 2036,2036 bleeding
supervisión 2036,supervision 2036
decoración 2036,decoration 2036
enamoró 2036,He fell in love 2036
muelles 2035,spring 2035
cumpla 2035,meets 2035
saltado 2035,2035 saltado
compuesto 2035,compound 2035
maligno 2035,malignant 2035
dato 2035,2035 data
entenderías 2034,2034'd understand
acantilado 2034,2034 cliff
creerías 2034,You believe 2034
arrojó 2034,threw 2034
aria 2033,aria 2033
mareado 2033,dizzy 2033
taxis 2033,2033 taxis
podríais 2033,you could 2033
acercándose 2033,approaching 2033
il 2032,yl 2032
celia 2032,celia 2032
morena 2032,2032 morena
ojala 2032,Ojala 2032
aburrimiento 2031,2031 boredom
sugieres 2031,suggest 2031
improbable 2031,improbable 2031
revela 2031,reveals 2031
tacto 2031,touch 2031
predicador 2030,preacher 2030
partió 2030,He departed 2030
presidencial 2030,presidential 2030
bailamos 2030,We dance 2030
audio 2030,2030 audio
apestas 2029,reek 2029
robarle 2029,rob 2029
dormimos 2028,we slept 2028
arañas 2028,spiders 2028
créditos 2028,2028 credits
epidemia 2028,2028 epidemic
carlton 2028,carlton 2028
moción 2027,2027 motion
crió 2026,he raised 2026
probé 2026,I tried 2026
imitación 2026,imitation 2026
solicitar 2026,2026 apply
casual 2025,casual 2025
aprobar 2025,approve 2025
aprecia 2024,appreciates 2024
barca 2024,2024 boat
espacios 2023,2023 spaces
apague 2023,off 2023
vainilla 2022,vanilla 2022
aléjese 2022,Get away 2022
vil 2021,2021 vil
estrecho 2021,narrow 2021
cruzada 2021,cross 2021
banderas 2021,2021 flags
escondidos 2021,hidden 2021
anormal 2020,abnormal 2020
aló 2020,Alo 2020
parecemos 2020,2020 seem
disputa 2019,2019 dispute
marianne 2019,marianne 2019
tradiciones 2019,2019 traditions
manguera 2019,2019 hose
way 2018,way 2018
cases 2018,2018 cases
pregúntele 2018,Ask 2018
want 2018,want 2018
pum 2017,pum 2017
marche 2017,marche 2017
condolencias 2016,condolences 2016
cifra 2016,2016 figure
paco 2016,paco 2016
sofisticado 2015,sophisticated 2015
eligieron 2015,They elected 2015
vigilado 2015,guarded 2015
jedi 2014,jedi 2014
marchando 2014,march 2014
anos 2014,2014 years
sirenas 2014,sirens 2014
bebía 2014,drank 2014
veterano 2013,veteran 2013
manifestación 2013,rally 2013
devoción 2013,devotion 2013
espectadores 2013,2013 spectators
mango 2011,Mango 2011
atada 2011,tied 2011
gasto 2011,spending 2011
remota 2010,remote 2010
nah 2010,nah 2010
mumbai 2010,mumbai 2010
abrirá 2009,will open 2009
larguémonos 2009,Let's get 2009
fieles 2009,faithful 2009
francine 2009,francine 2009
honrar 2008,honor 2008
extracción 2008,extraction 2008
desagradables 2008,unpleasant 2008
proveedor 2007,supplier 2007
enteraste 2007,hear 2007
conseguirme 2007,get me 2007
aceptará 2006,accept 2006
características 2006,features 2006
medallas 2006,2006 medals
eliminación 2006,elimination 2006
escaparse 2006,2006 escape
morse 2006,morse 2006
halló 2005,He found 2005
visible 2005,visible 2005
warp 2005,Warp 2005
transformación 2005,transformation 2005
necesarias 2005,2005 necessary
simmons 2005,simmons 2005
himno 2005,anthem 2005
bon 2004,bon 2004
iglesias 2004,2004 churches
municipal 2004,Municipal 2004
enviará 2004,send 2004
reírse 2004,laugh 2004
calentar 2004,heating 2004
murciélago 2004,bat 2004
ariel 2004,ariel 2004
dactilares 2003,fingerprint 2003
yi 2003,yi 2003
atómica 2003,Atomic 2003
aficionados 2003,2003 fans
cantas 2003,sing 2003
tito 2003,tito 2003
recordó 2002,He recalled 2002
expreso 2002,express 2002
quites 2001,take away 2001
dani 2001,dani 2001
detenidos 2001,2001 arrested
billie 2001,billie 2001
salirse 2001,departing 2001
jarra 2001,pitcher 2001
queráis 2000,2000 ye
amistoso 2000,friendly 2000
mordido 1999,bitten 1999
perla 1999,pearl 1999
gelatina 1999,1999 gelatin
bromear 1999,joke 1999
chismes 1999,gossip 1999
estrelló 1999,1999 crashed
corregir 1999,correct 1999
hilos 1999,1999 threads
asustarme 1998,1998 scare me
cálida 1998,warm 1998
tocamos 1998,we touch 1998
conociendo 1998,knowing 1998
exagerado 1998,exaggerated 1998
prestarme 1998,lend 1998
cagado 1998,shat 1998
telefónicas 1997,phone 1997
balance 1997,1997 balance
respetado 1997,respected 1997
ling 1997,ling 1997
rutas 1996,1996 routes
crearon 1996,They created 1996
devolverlo 1996,1996 return
zar 1996,zar 1996
descansen 1993,1993 rest
usual 1993,usual 1993
exponer 1993,exposing 1993
bailas 1992,dance 1992
bah 1992,bah 1992
beatles 1992,beatles 1992
vayámonos 1991,let's get 1991
sensato 1991,sensible 1991
circulación 1991,circulation 1991
conquista 1990,conquest 1990
extraer 1990,1990 extract
encargaremos 1990,1990'll take care
hoguera 1990,bonfire 1990
gracie 1990,gracie 1990
monjas 1990,nuns 1990
arrestada 1989,1989 arrested
actuó 1989,1989 acted
alquilado 1989,rented 1989
conocerme 1988,know 1988
molestas 1988,1988 annoying
tortugas 1987,turtles 1987
saul 1987,saul 1987
celebridad 1987,1987 celebrity
venías 1987,1987 were coming
kev 1986,1986 kev
manchester 1986,manchester 1986
uy 1985,uy 1985
diputado 1985,MP 1985
polaco 1985,Polish 1985
clavos 1985,nails 1985
negado 1985,1985 denied
casara 1985,1985 married
actuado 1985,1985 acted
resuelve 1984,1984 solves
complace 1984,1984 pleased
resonancia 1984,1984 resonance
proxima 1984,next 1984
socia 1984,partner 1984
agradece 1983,1983 thanks
bin 1983,bin 1983
sanders 1983,sanders 1983
miserables 1982,miserables 1982
severo 1982,severe 1982
ezra 1982,ezra 1982
cuanta 1981,how much 1981
esperó 1981,He waited 1981
tornado 1981,Tornado 1981
propietarios 1981,1981 owners
pizca 1981,pinch 1981
arreglará 1980,will fix 1980
empleos 1980,1980 jobs
concentrado 1980,concentrated 1980
ollie 1980,ollie 1980
cora 1980,Heart 1980
obtienes 1980,you get 1980
atlántico 1979,Atlantic 1979
bancarrota 1979,1979 bankruptcy
yardas 1979,1979 yards
quemada 1979,burned 1979
monasterio 1978,monastery 1978
quisieran 1978,wanted 1978
stacey 1978,stacey 1978
abrieron 1978,opened 1978
elegantes 1978,elegant 1978
privilegios 1977,privileges 1977
habeis 1977,1977 ye
monjes 1977,monks 1977
marchas 1977,1977 marches
válvula 1977,valve 1977
casita 1977,casita 1977
jugué 1977,I played 1977
recogeré 1977,I will gather 1977
lanzando 1975,launching 1975
arranque 1975,boot 1975
conduces 1975,1975 drive
candy 1974,1974 candy
oral 1974,oral 1974
bancaria 1974,1974 bank
nº 1974,No. 1974
muevo 1974,1974 move
labial 1974,labial 1974
contarlo 1974,tell 1974
consigamos 1973,we get 1973
hassan 1973,hassan 1973
recupera 1973,retrieves 1973
predecir 1973,predict 1973
secretas 1972,secret 1972
abrázame 1972,Abrázame 1972
recordarle 1972,remind 1972
lloraba 1971,she cried 1971
mariposas 1971,butterflies 1971
anzuelo 1970,1970 hook
devolvió 1970,1970 returned
novatos 1970,1970 rookies
quisiéramos 1970,wanted 1970
carnet 1970,carnet 1970
asustarte 1969,startle 1969
mindy 1969,Mindy 1969
rebaño 1969,1969 flock
w 1969,w 1969
gusten 1969,like 1969
baratos 1969,Cheap 1969
económico 1969,economic 1969
mara 1969,mara 1969
boo 1968,boo 1968
alimentación 1968,power 1968
cook 1968,cook 1968
inició 1968,1968 started
críos 1967,kiddies 1967
vivirás 1966,You'll live 1966
yenes 1966,1966 yen
pasajes 1966,passages 1966
grieta 1966,1966 crack
reportera 1966,reporter 1966
dense 1966,dense 1966
besé 1965,I kissed 1965
vip 1965,vip 1965
tazas 1965,1965 cups
luthor 1965,luthor 1965
pandillas 1965,gangs 1965
visitó 1965,1965 visited
abrid 1965,Open 1965
enviarme 1965,Send 1965
agrado 1964,welcome 1964
ponche 1964,punch 1964
movida 1964,1964 moved
escoba 1963,broom 1963
atravesando 1963,through 1963
recado 1962,recado 1962
arrojar 1962,shed 1962
planeamos 1961,1961 plan
pijamas 1960,pajamas 1960
hipótesis 1960,1960 hypothesis
milady 1960,milady 1960
guapas 1960,beautiful 1960
tocarla 1960,touch 1960
caíste 1960,1960 fell
callen 1959,1959 fall silent
respondiendo 1959,responding 1959
mudado 1959,1959 moved
flora 1959,Flora 1959
gemelo 1959,twin 1959
desmayó 1958,He passed out 1958
apariencias 1958,1958 appearances
permito 1958,let 1958
porción 1958,portion 1958
columbia 1958,1958 columbia
mantendremos 1958,keep 1958
pensemos 1958,think 1958
dedico 1958,I dedicate 1958
tostadas 1958,toast 1958
reportaje 1958,report 1958
necesitado 1957,1957 needed
chófer 1957,1957 driver
probemos 1957,Let's try 1957
ofendas 1957,1957 offense
protegernos 1956,protect 1956
enseñas 1956,teach 1956
redención 1956,redemption 1956
cosmos 1955,cosmos 1955
prisionera 1955,1955 prisoner
perdonaré 1955,I forgive 1955
ramo 1955,bouquet 1955
producido 1954,produced 1954
antigüedades 1954,antiques 1954
amplia 1954,wide 1954
precauciones 1953,precautions 1953
útero 1953,uterus 1953
palm 1952,Palm 1952
mayormente 1952,Mostly 1952
bajaré 1952,I'll go down 1952
trey 1952,trey 1952
matarás 1952,you will kill 1952
mantas 1951,blankets 1951
sufren 1951,suffer 1951
necesiten 1951,They need 1951
aburridos 1951,boring 1951
apelación 1951,appeal 1951
dewey 1951,dewey 1951
enviada 1950,sent 1950
sobras 1950,leftovers 1950
detenernos 1950,stop 1950
comprensible 1950,understandably 1950
vito 1949,vito 1949
pino 1949,pine 1949
carrito 1949,Shopping 1949
índice 1949,Index 1949
ba 1949,ba 1949
musicales 1948,musical 1948
estara 1948,1948 will be
micro 1948,micro 1948
aplastar 1948,crush 1948
tires 1948,1948 tires
básica 1947,Basic 1947
audaz 1947,bold 1947
mejillas 1947,1947 cheeks
descargar 1947,download 1947
apuñalado 1947,stabbed 1947
horarios 1947,1947 times
animado 1946,animated 1946
norteamericano 1946,US 1946
miraré 1946,I'll look 1946
metáfora 1946,metaphor 1946
redonda 1946,Round 1946
tensa 1946,tense 1946
mantenerlos 1945,keep 1945
campeones 1945,1945 champions
coronas 1945,1945 crowns
derrame 1945,1945 spill
reporteros 1944,reporters 1944
espina 1944,thorn 1944
frontal 1944,front 1944
tramposo 1944,cheater 1944
ferry 1943,1943 ferry
apasionado 1943,passionate 1943
rendimiento 1943,1943 performance
frankenstein 1943,frankenstein 1943
darryl 1943,darryl 1943
fallas 1942,failures 1942
invitaste 1942,1942 invited
salvarnos 1942,save 1942
ajustar 1942,adjust 1942
cierran 1942,1942 close
escombros 1941,debris 1941
tengáis 1941,1941 ye
señalar 1941,note 1941
floyd 1941,floyd 1941
escritos 1940,written 1940
tercio 1940,third 1940
olvidando 1940,forgetting 1940
gritan 1939,scream 1939
bi 1939,bi 1939
ss 1939,ss 1939
pensáis 1939,think 1939
jerome 1939,jerome 1939
royal 1939,royal 1939
ahogado 1939,1939 drowned
defensas 1938,1938 defenses
comparten 1938,1938 share
legítima 1938,legitimate 1938
regazo 1938,lap 1938
dígamelo 1938,let me know 1938
preocuparía 1938,worry 1938
usados 1937,used 1937
cambien 1937,1937 change
divertidos 1937,funny 1937
corras 1936,1936 run
iríamos 1935,we would 1935
sacarnos 1935,us out 1935
preparativos 1935,1935 preparations
repita 1935,1935 repeat
timothy 1935,timothy 1935
poción 1934,potion 1934
atravesó 1934,crossed 1934
rahul 1934,rahul 1934
diálogo 1934,dialogue 1934
byron 1933,byron 1933
acusando 1933,1933 accusing
luchan 1933,1933 fight
morirse 1933,1933 die
dinozzo 1933,dinozzo 1933
cabras 1933,goats 1933
amargo 1932,bitter 1932
dinamarca 1931,1931 Denmark
acercarte 1931,1931 approach
críticos 1931,critics 1931
joanna 1930,joanna 1930
aidan 1930,aidan 1930
seguidas 1930,followed 1930
fi 1930,1930 fi
enviarle 1930,send 1930
interese 1929,1929 interest
cafe 1929,Cafe 1929
motivación 1928,motivation 1928
zoey 1928,zoey 1928
verdaderas 1928,true 1928
rap 1928,rap 1928
salvarle 1928,save 1928
intenten 1927,try 1927
permanezca 1927,stay 1927
vaticano 1927,Vatican 1927
separe 1927,Separate 1927
arrogancia 1926,arrogance 1926
vencida 1926,defeated 1926
veías 1926,1926 saw
acabada 1926,finished 1926
casará 1926,1926 he married
presidencia 1926,Presidency 1926
conductores 1926,1926 drivers
beben 1925,1925 drink
curry 1925,curry 1925
tarzán 1925,Tarzan 1925
ordene 1924,order 1924
cinturones 1924,1924 belts
adicta 1924,1924 addict
implicado 1924,involved 1924
ganso 1924,goose 1924
lloré 1923,I cried 1923
telefónico 1923,phone 1923
sobrevive 1923,1923 survives
edna 1923,edna 1923
molestan 1922,1922 bother
argumentos 1922,arguments 1922
quisieron 1922,wanted 1922
oía 1922,heard 1922
peculiar 1921,quirky 1921
melinda 1921,melinda 1921
entusiasmado 1921,excited 1921
distraído 1921,distracted 1921
encargarse 1920,1920 charge
exploradores 1920,explorers 1920
carreta 1920,1920 wagon
mentor 1920,mentor 1920
coged 1919,Gather 1919
ajuste 1919,1919 adjustment
consciencia 1919,consciousness 1919
judas 1918,judas 1918
observador 1917,observer 1917
aprenderás 1917,You learn 1917
mediana 1917,medium 1917
frost 1917,Frost 1917
recogerlo 1917,1917 pick
vestirme 1917,dress 1917
uh-huh 1917,uh-huh 1917
bebamos 1916,1916 drink
ming 1916,ming 1916
recordará 1916,will remember 1916
explosiones 1916,explosions 1916
inmigrantes 1916,1916 immigrants
enfermó 1916,sickened 1916
intentará 1916,1916 will attempt
abrazar 1915,embrace 1915
abandone 1915,leave 1915
entraba 1915,1915 entered
medico 1914,medical 1914
diseñador 1914,Designer 1914
expulsada 1913,expelled 1913
advirtió 1913,warned 1913
from 1912,from 1912
encerrar 1912,lock 1912
tomarla 1912,take 1912
impulsos 1912,pulse 1912
aceptaría 1912,accept 1912
isabella 1912,isabella 1912
entrara 1911,enter 1911
ataquen 1911,1911 attack
encontrados 1911,1911 found
leonardo 1911,leonardo 1911
alérgico 1911,allergic 1911
bree 1911,bree 1911
parecida 1910,like 1910
pilas 1910,1910 batteries
vales 1910,vouchers 1910
antibióticos 1910,antibiotics 1910
pasto 1910,grass 1910
cho 1910,cho 1910
forzada 1909,forced 1909
golpee 1909,1909 hits
destruirlo 1909,destroy 1909
calentamiento 1909,warming 1909
lloró 1909,She cried 1909
holanda 1909,Netherlands 1909
ilegalmente 1909,1909 illegally
vendía 1909,1909 sold
tractor 1909,1909 tractor
sanos 1908,healthy 1908
thesubfactory 1908,thesubfactory 1908
ande 1908,ande 1908
compensación 1908,1908 compensation
víbora 1907,viper 1907
wanda 1907,wanda 1907
gallagher 1907,gallagher 1907
inmenso 1907,immense 1907
aspirina 1907,aspirin 1907
previo 1907,previous 1907
quiten 1907,remove 1907
asociados 1907,associated 1907
sentaos 1906,Sit 1906
rompen 1906,1906 break
tubería 1906,pipe 1906
theresa 1906,theresa 1906
detuve 1906,1906 stopped
ordinario 1905,ordinary 1905
exploración 1905,exploration 1905
sueco 1905,Swedish 1905
prepararse 1905,prepare 1905
agradas 1905,agradas 1905
wright 1903,wright 1903
informarle 1903,inform 1903
turista 1902,1902 tourist
tendido 1902,lying 1902
satán 1902,satán 1902
kentucky 1902,kentucky 1902
arquitectura 1902,1902 architecture
adoraba 1901,adored 1901
jurar 1901,swearing 1901
propuso 1901,proposed 1901
veinticinco 1901,twenty 1901
afirmativo 1900,yes 1900
geoffrey 1900,geoffrey 1900
carpa 1900,carp 1900
comportarse 1900,behave 1900
mccoy 1900,mccoy 1900
intercambiar 1900,exchange 1900
twitter 1900,twitter 1900
rifles 1899,rifles 1899
perseguido 1899,persecuted 1899
notó 1899,1899 noted
preferirías 1898,rather 1898
atacada 1897,1897 attacked
tac 1897,tac 1897
superintendente 1897,superintendent 1897
específica 1897,specific 1897
empate 1896,1896 draw
rompo 1895,I break 1895
seguían 1895,They followed 1895
inspirado 1895,inspired 1895
seguiste 1894,You followed 1894
genético 1893,genetic 1893
mutuo 1893,mutual 1893
recuperó 1893,1893 recovered
gonna 1893,gonna 1893
lima 1893,lima 1893
advertido 1893,warned 1893
reparación 1892,repair 1892
desvío 1892,1892 detour
rastreando 1892,tracking 1892
mezclar 1892,mix 1892
vernon 1892,vernon 1892
milton 1892,milton 1892
afeitar 1892,razor 1892
conducto 1891,conduit 1891
alterada 1891,altered 1891
karate 1891,karate 1891
permanezcan 1890,stay 1890
pirámide 1890,pyramid 1890
respondes 1889,Answerest 1889
vivan 1889,live 1889
aseguró 1889,He said 1889
morada 1889,purple 1889
secos 1889,dry 1889
familiarizado 1889,familiar 1889
tened 1888,Be 1888
funeraria 1888,funeral 1888
usaban 1888,used 1888
esconderme 1887,hide 1887
cruzados 1887,Crusaders 1887
sung 1886,Sung 1886
ricas 1886,rich 1886
mercurio 1886,mercury 1886
afectó 1885,1885 affected
destrozada 1885,1885 shattered
movemos 1885,1885 move
acta 1885,Act 1885
